"","month","year","monthly_biomass","date","s_acutus","s_americanus","s_tabernaemontani","s_californicus","s_maritimus","t_latifolia","t_domingensis","typha_spp","sac_stab"
"1",7,2011,749486.600788151,2011-07-01,91964.6099171315,70707.9987305814,113034.684206288,7088.53374163411,15999.3428737964,361640.757066278,89050.6742524407,450691.431318719,204999.29412342
"2",9,2011,262922.7774066,2011-09-01,57392.6362355235,39402.6618216651,33241.8021023317,15386.2121368344,0,95926.3420968738,21573.1230133716,117499.465110245,90634.4383378552
"3",11,2011,305566.433822795,2011-11-01,0,33811.9342641714,111076.268367325,28587.3399000756,0,99126.8308706395,22890.4417231279,122017.272593767,111076.268367325
"4",1,2012,115519.532472688,2012-01-01,14175.1928402917,14868.1503649599,20203.833177638,9508.41707208543,0,42901.5951209905,0,42901.5951209905,34379.0260179297
"5",3,2012,72505.7657413225,2012-03-01,15338.4908251131,4429.34444188771,3702.69439603842,7684.16150075388,0,31543.3646647738,9807.70991275559,41351.0745775294,19041.1852211515
"6",5,2012,276812.958651063,2012-05-01,39453.975517443,22764.9832745082,22470.1825828903,27656.4640317053,0,122885.740324235,41581.6129202809,164467.353244516,61924.1581003333
"7",7,2012,639886.152773864,2012-07-01,54789.5034617046,51085.2447330533,96492.5489255276,38780.2803402244,1028.40314683999,222596.465014424,111125.091874703,333721.556889128,151282.052387232
"8",9,2012,415641.67964755,2012-09-01,18077.7137229571,59363.188447139,67171.0916605831,11329.4729676331,0,192887.687572758,66812.5252764789,259700.212849237,85248.8053835402
"9",11,2012,238245.463244453,2012-11-01,16543.6131793334,29513.4365157719,29600.4621899408,10414.7610884138,0,128564.186500302,23609.0037706904,152173.190270993,46144.0753692742
"10",1,2013,102735.46854706,2013-01-01,13332.882931604,4588.00417284472,967.730513476423,12461.039842222,0,41706.6757288735,0,41706.6757288735,14300.6134450804
"11",3,2013,43717.2277941317,2013-03-01,6809.06402195394,362.963559364162,0,3690.68092045565,0,15723.5528545225,12670.0248261893,28393.5776807119,6809.06402195394
"12",7,2013,428547.736447151,2013-07-01,76238.7223846127,12691.4773897243,0,22579.4127841104,0,254166.016935312,46066.3133672292,300232.330302541,76238.7223846127
"13",9,2013,314325.396748041,2013-09-01,40588.1930975574,3945.36015071101,0,15850.0674084651,0,115346.44337966,95452.6311972109,210799.074576871,40588.1930975574
"14",11,2013,185633.031472545,2013-11-01,31030.95577212,367.763784859747,0,8424.68491788249,0,112655.215390405,22016.4297189247,134671.64510933,31030.95577212
"15",1,2014,81952.8421380769,2014-01-01,12791.899167021,0,0,9022.02319947777,0,36578.3451509924,613.778821924134,37192.1239729166,12791.899167021
"16",3,2014,51272.1651361616,2014-03-01,1755.75707564418,0,0,4581.18097492441,0,41617.0936316587,45.4420622644252,41662.5356939232,1755.75707564418
"17",5,2014,190376.472576743,2014-05-01,28298.8962306762,0,0,32312.1137216666,0,90665.0183032127,35292.9148696526,125957.933172865,28298.8962306762
"18",7,2014,377145.428320426,2014-07-01,71827.2132952483,0,0,0,0,233880.616007355,56043.9080659687,289924.524073324,71827.2132952483
"19",9,2014,233335.456333897,2014-09-01,41982.2842156324,0,0,4640.89524779698,0,137639.187029122,25263.3493991112,162902.536428233,41982.2842156324
"20",11,2014,178177.78875608,2014-11-01,21423.0384922823,0,0,5956.37548249417,0,117514.458060609,12321.823925862,129836.281986471,21423.0384922823
"21",1,2015,49877.0562153507,2015-01-01,3374.45979626113,0,0,10522.3331201355,0,23911.5567064858,98.2131007841452,24009.7698072699,3374.45979626113
"22",3,2015,100291.956949664,2015-03-01,11225.424044759,0,0,9441.75446312938,0,71560.8767761298,1923.57777076845,73484.4545468982,11225.424044759
"23",5,2015,54491.274993486,2015-05-01,2326.44222255081,0,0,7818.83416235352,0,37025.7616497634,1265.65084843093,38291.4124981944,2326.44222255081
"24",7,2015,339022.082722195,2015-07-01,24528.1781000633,0,0,13560.8833088878,0,243196.721912562,57736.2994006814,300933.021313243,24528.1781000633
"25",9,2015,188772.074671112,2015-09-01,19750.3416720112,0,0,13460.1140816328,0,119826.852311031,13526.287233365,133353.139544396,19750.3416720112
"26",11,2015,245572.417542897,2015-11-01,28439.3669467169,0,0,30334.6194244748,0,174548.702933933,6668.53692997939,181217.239863913,28439.3669467169
"27",1,2016,54631.1099699394,2016-01-01,5643.07311936571,0,0,5522.2756919021,0,31446.916965285,0,31446.916965285,5643.07311936571
"28",3,2016,105713.567446409,2016-03-01,12237.7162943622,0,0,7779.70127764937,0,70896.2504319003,0,70896.2504319003,12237.7162943622
"29",5,2016,450714.204497362,2016-05-01,53309.7350826903,0,0,50532.7844464842,0,255469.58084889,64359.2518494561,319828.832698346,53309.7350826903
"30",7,2016,413755.081661429,2016-07-01,13192.6873019337,0,0,37195.5366621501,0,172864.781644557,182226.97441956,355091.756064117,13192.6873019337
"31",9,2016,325351.905736225,2016-09-01,17452.3513994558,0,0,16283.3409664789,0,147221.5395296,105352.445152344,252573.984681944,17452.3513994558
"32",11,2016,267518.850149911,2016-11-01,21327.5159841427,0,0,23045.0614614715,0,118657.755758725,72386.2549275825,191044.010686308,21327.5159841427
"33",1,2017,36552.7163246218,2017-01-01,0,0,0,759.595944382624,0,21903.0881768829,4386.32595895462,26289.4141358375,0
"34",3,2017,46232.7042145811,2017-03-01,2582.41591156945,0,0,7747.89290931902,0,24562.2981335124,0,24562.2981335124,2582.41591156945
"35",5,2017,137908.980577871,2017-05-01,10632.9327114029,0,0,10292.7728054869,0,41031.5253435825,52966.9196210873,93998.4449646698,10632.9327114029
"36",7,2017,484775.193915484,2017-07-01,18390.6195062481,0,0,48772.7317999999,0,259089.97819869,130554.064761576,389644.042960266,18390.6195062481
"37",9,2017,328764.159310927,2017-09-01,20451.0788224496,0,0,21129.0746521991,0,173989.802121737,106991.106369052,280980.908490789,20451.0788224496
"38",11,2017,126322.356418359,2017-11-01,10179.2167841029,0,0,0,0,78656.896038715,6550.15630941253,85207.0523481275,10179.2167841029
"39",1,2018,48204.7691681647,2018-01-01,744.176590883006,0,0,2251.55506923349,0,25927.1298407823,0,25927.1298407823,744.176590883006
"40",3,2018,35543.4360114589,2018-03-01,552.758437905325,0,0,2275.4838743031,0,28158.1998391135,1250.62771953615,29408.8275586497,552.758437905325
"41",5,2018,158899.68036945,2018-05-01,0,0,0,14138.6787305842,0,44186.4618775509,92211.3986892385,136397.860566789,0
"42",7,2018,299904.76181384,2018-07-01,42213.1150577653,0,0,7571.81905752105,0,41595.3970453904,147319.377221767,188914.774267158,42213.1150577653
"43",9,2018,7888.14824994017,2018-09-01,0,0,0,876.460916660019,0,2004.650527086,624.732222894057,2629.38274998006,0
