"","month","year","monthly_stem_area_cm2","monthly_stem_area_m2","monthly_underwater_stem_volume_m3"
"1",7,2011,58059407.4434013,5805.94074434013,1526.96241576145
"2",9,2011,50259357.4897172,5025.93574897172,1321.82110197956
"3",11,2011,72646449.659228,7264.6449659228,1910.6016260377
"4",1,2012,56575950.2794782,5657.59502794782,1487.94749235028
"5",3,2012,30358128.2351662,3035.81282351662,798.418772584872
"6",5,2012,62065015.4853582,6206.50154853582,1632.30990726492
"7",7,2012,66896681.513449,6689.6681513449,1759.38272380371
"8",9,2012,77498442.9201851,7749.84429201851,2038.20904880087
"9",11,2012,79550408.4219119,7955.04084219119,2092.17574149628
"10",1,2013,31589756.8736429,3158.97568736429,830.81060577681
"11",3,2013,22619563.5023305,2261.95635023305,594.894520111291
"12",7,2013,77148152.6672678,7714.81526672678,2028.99641514914
"13",9,2013,64162567.5920188,6416.25675920188,1687.47552767009
"14",11,2013,104158664.106423,10415.8664106423,2739.37286599893
"15",1,2014,70171956.3030971,7017.19563030971,1845.52245077145
"16",3,2014,50673022.823895,5067.3022823895,1332.70050026844
"17",5,2014,47594578.9785394,4759.45789785394,1251.73742713559
"18",7,2014,86817530.9551876,8681.75309551876,2283.30106412143
"19",9,2014,79437023.4050888,7943.70234050888,2089.19371555383
"20",11,2014,109491666.489684,10949.1666489684,2879.63082867869
"21",1,2015,1554628874.88631,155462.887488631,40886.7394095099
"22",3,2015,25939349.1302163,2593.93491302163,682.204882124688
"23",5,2015,9018741.63861242,901.874163861243,237.192905095507
"24",7,2015,93068056.6037864,9306.80566037864,2447.68988867958
"25",9,2015,85181367.7836431,8518.13677836431,2240.26997270981
"26",11,2015,747250102.546438,74725.0102546438,19652.6776969713
"27",1,2016,37327032.1169914,3732.70321169914,981.700944676873
"28",3,2016,39738924.8381566,3973.89248381566,1045.13372324352
"29",5,2016,1835394702.43523,183539.470243523,48270.8806740465
"30",7,2016,786295603.238292,78629.5603238292,20679.5743651671
"31",9,2016,98216756.6278644,9821.67566278644,2583.10069931283
"32",11,2016,63633530.905214,6363.3530905214,1673.56186280713
"33",1,2017,25161966.2831301,2516.19662831301,661.759713246323
"34",3,2017,15518118.291323,1551.8118291323,408.126511061796
"35",5,2017,31421123.1753314,3142.11231753314,826.375539511217
"36",7,2017,79188414.2502465,7918.84142502465,2082.65529478148
"37",9,2017,84869205.1341449,8486.92051341448,2232.06009502801
"38",11,2017,67701275.7073082,6770.12757073082,1780.5435511022
"39",1,2018,27993028.722121,2799.3028722121,736.216655391783
"40",3,2018,19057475.3027399,1905.74753027399,501.21160046206
"41",5,2018,23755089.4348995,2375.50894348995,624.758852137858
"42",7,2018,42226772.7673395,4222.67727673395,1110.56412378103
"43",9,2018,1964520.47103574,196.452047103575,51.6668883882401
